 WARNING:  PROBLEM IS POORLY SCALED.  THE UNITS
 OF THE ROWS AND VARIABLES SHOULD BE CHANGED SO
 THE COEFFICIENTS COVER A MUCH SMALLER RANGE.


 LP OPTIMUM FOUND AT STEP   3232
 OBJECTIVE VALUE =  0.120200781E+10

 FIX ALL VARS.(    4)  WITH RC >  0.000000E+00
 SET   VI1200 TO >=     1 AT    1, BND= -0.1518E+10 TWIN=-0.1202E+10  18669

 NEW INTEGER SOLUTION OF   0.151842291E+10 AT BRANCH      1 PIVOT   18669
 BOUND ON OPTIMUM: 0.1202008E+10
 FLIP   VI1200 TO <=         0 AT    1 WITH BND=  -0.12020431E+10
 DELETE   VI1000 AT LEVEL     2
 DELETE   VI1200 AT LEVEL     1
 RELEASE FIXED VARIABLES
 ENUMERATION COMPLETE. BRANCHES=     2 PIVOTS=   45151

 LAST INTEGER SOLUTION IS THE BEST FOUND
 RE-INSTALLING BEST SOLUTION...

        OBJECTIVE FUNCTION VALUE

       FO)     0.1518423E+10

  VARIABLE        VALUE          REDUCED COST
     RT135  13392000.000000          0.000000
     SF175         0.000000          0.000000
     SI175         0.000000          0.000000
     PR175         0.000000          0.000000
     EV175         0.000000          0.000000
     DM175  13392000.000000          0.000000
     QJ175 ****************          0.000000
     QM185 ****************          0.000000
     RT175  13392000.000000          0.000000
     DM185 ****************          0.000000
     QJ185         0.000000          0.000000
     QM156         0.000000          0.000000
     DM156         0.000000          0.000000
     QJ156  67858560.000000          0.000000
     QM146         0.000000          0.000000
     DM146         0.000000          0.000000
     QJ146  42249600.000000          0.000000
     QM086         0.000000          0.000000
     SF086  38694808.000000          0.000000
     SI086         0.000000          0.000000
     PR086         0.000000          0.000000
     EV086    126994.421875          0.000000
     DM086  12960000.000000          0.000000
     QJ086  50991000.000000          0.000000
     QM016         0.000000          0.000000
     DM016         0.000000          0.000000
     QJ016  14230080.000000          0.000000
     QM066         0.000000          0.000000
     DM066         0.000000          0.000000
     QJ066  12312000.000000          0.000000
     QM036         0.000000          0.000000
     DM036         0.000000          0.000000
     QJ036  45048960.000000          0.000000
     QM126         0.000000          0.000000
     SF126 ****************          0.000000
     SI126 ****************          0.000000
     PR126         0.000000          0.000000
     EV126  12132689.000000          0.000000
     DM126  12960000.000000          0.000000
     QJ126  20489950.000000          0.000000
     QM166 136028160.000000          0.000000
     RT156  12960000.000000          0.000000
     RT146  12960000.000000          0.000000
     SF166 ****************          0.000000
     SI166 ****************          0.000000
     PR166       521.000000          0.000000
     EV166   9572720.000000          0.000000
     DM166  12960000.000000          0.000000
     QJ166 126948440.000000          0.000000
     QM026  27190080.000000          0.000000
     RT016  12960000.000000          0.000000
     SF026 617374784.000000          0.000000
     SI026 592241600.000000          0.000000
     PR026       158.000000          0.000000
     EV026   3638169.250000          0.000000
     DM026  12960000.000000          0.000000
     QJ026         0.000000          0.000000
     QM076  25272000.000000          0.000000
     RT066  12960000.000000          0.000000
     SF076 103226288.000000          0.000000
     SI076  89054664.000000          0.000000
     PR076         0.000000          0.000000
     EV076   1173015.750000          0.000000
     DM076  12960000.000000          0.000000
     QJ076         0.000000          0.000000
     QM096  63951000.000000          0.000000
     RT086  12960000.000000          0.000000
     DM096  10368000.000000          0.000000
     QJ096  61540440.000000          0.000000
     QM046  70968960.000000          0.000000
     RT036  12960000.000000          0.000000
     RT026  12960000.000000          0.000000
     SF046 752521536.000000          0.000000
     SI046 ****************          0.000000
     PR046         0.000000          0.000000
     EV046   6706884.500000          0.000000
     DM046  12960000.000000          0.000000
     QJ046 796250624.000000          0.000000
     QM106  67761240.000000          0.000000
     RT096   6220800.000000          0.000000
     SF106         0.000000          0.000000
     SI106         0.000000          0.000000
     PR106         0.000000          0.000000
     EV106         0.000000          0.000000
     DM106  12960000.000000          0.000000
     QJ106  87952920.000000          0.000000
     QM056 809210624.000000          0.000000
     RT046  12960000.000000          0.000000
     SF056         0.000000          0.000000
     SI056         0.000000          0.000000
     PR056         0.000000          0.000000
     EV056         0.000000          0.000000
     DM056  12960000.000000          0.000000
     QJ056 816882944.000000          0.000000
     QM116 943715840.000000          0.000000
     RT076  12960000.000000          0.000000
     RT106  12960000.000000          0.000000
     RT056  12960000.000000          0.000000
